"PAT_ZIP","SITE_ZIP","total_enc_cnt"
"03865","02169","11"
"03874","01960","2"
"03885","01915","2"
"04043","02109","3"
"04843","02138","1"
"05059","01742","2"
"06268","02109","2"
"06384","02109","1"
"07652","02109","3"
"02458","02155","3"
"02458","02109","16"
"02458","02138","72"
"02458","01803","2"
"02476","02138","200"
"57719","02155","4"
"70820","02109","3"
"78666","02215","7"
"90409","02109","3"
"98104","02144","1"
"98115","02215","1"
"02368","02472","1"
"02459","02215","44"
"02535","02109","1"
"02558","02184","6"
"02559","02184","2"
"02633","02169","3"
"02639","02184","1"
"02653","02144","1"
"02703","02481","39"
"02460","02215","10"
"02460","02169","2"
"02478","02109","48"
"02461","02481","358"
"02766","02184","28"
"02780","02109","8"
"02379","02481","3"
"02462","02138","5"
"02464","02481","186"
"02465","02138","16"
"02813","02184","2"
"02860","02184","5"
"02864","02109","10"
"02895","02184","1"
"02905","02481","2"
"02907","02109","3"
"02908","01824","1"
"02911","02184","6"
"02914","02109","1"
"02921","02109","2"
"02420","02144","21"
"02420","01915","4"
"02465","02215","19"
"03038","02481","1"
"03053","02144","13"
"03055","02155","6"
"02421","02155","3"
"02466","02481","245"
"02482","02109","11"
"02482","02169","1"
"02339","02481","17"
"02339","02169","17"
"02421","02109","1"
"02445","02481","109"
"02467","02184","18"
"02341","02184","100"
"02468","02215","1"
"02468","02138","1"
"02468","01803","9"
"01510","02481","7"
"01532","01742","2"
"01545","01803","2"
"01568","02467","1"
"01570","01742","1"
"01571","02109","3"
"01583","02481","1"
"01588","02184","5"
"01607","02215","15"
"01027","02215","1"
"01028","02144","1"
"01108","02467","8"
"01247","02169","3"
"01431","01824","1"
"01432","01824","35"
"01451","01824","44"
"01453","02169","29"
"01460","01803","21"
"01460","02184","6"
"01462","01803","2"
"01463","01824","76"
"01467","02144","15"
"01469","01824","5"
"01505","02138","1"
"01510","02138","33"
"01742","02109","22"
"01746","01742","4"
"01702","02467","8"
"01702","01742","6"
"01702","02155","1"
"01718","01803","5"
"01719","02481","15"
"01730","02138","10"
"01741","02472","14"
"01742","02155","6"
"01752","02155","19"
"01760","02109","33"
"01770","02109","3"
"01748","01742","5"
"01748","02215","2"
"01749","01915","4"
"01776","02481","157"
"01776","02138","56"
"01778","02138","6"
"01801","02109","29"
"01803","02169","2"
"01810","01824","66"
"01821","02138","20"
"01803","02481","4"
"01832","02215","17"
"01832","01824","8"
"01844","02144","2"
"01844","01915","8"
"01844","02109","3"
"01851","01803","40"
"01852","01742","7"
"01854","01824","473"
"01854","02144","5"
"01854","02138","1"
"01860","01960","1"
"01862","02144","3"
"01880","02215","32"
"01865","01803","5"
"01867","01960","66"
"01867","01803","110"
"01876","02144","6"
"01876","02138","12"
"01879","01742","8"
"01879","02155","4"
"01886","01742","17"
"01887","01960","48"
"01887","01824","100"
"01902","01915","84"
"01902","02215","13"
"01905","02138","2"
"01905","02155","8"
"01905","02481","2"
"01905","02144","2"
"01886","02215","4"
"01886","02138","1"
"01886","02155","5"
"01929","01803","2"
"01907","02144","24"
"01908","02109","41"
"01908","02215","1"
"01913","02109","8"
"01915","01960","391"
"01915","02481","5"
"01921","02481","1"
"01940","01960","116"
"01944","02109","2"
"01945","01803","3"
"01960","01915","697"
"01952","01803","1"
"01938","02481","2"
"02025","02138","1"
"02026","02026","113"
"02026","02184","82"
"01961","02155","3"
"01969","01803","9"
"01969","02144","1"
"01970","01915","424"
"01984","02109","4"
"02020","02184","4"
"02021","02062","57"
"02026","02109","42"
"02043","02184","319"
"02043","02138","4"
"02045","02215","2"
"02045","02144","3"
"02038","02481","74"
"02038","02062","8"
"02062","02169","53"
"02050","01803","7"
"02054","02026","13"
"02054","02481","96"
"02056","02481","44"
"02056","02169","1"
"02061","02184","127"
"02081","02109","28"
"02093","02109","12"
"02110","01915","2"
"02081","02026","47"
"02066","02144","3"
"02119","02138","45"
"02119","02144","7"
"02115","02184","4"
"02116","02138","53"
"02118","02169","4"
"02118","01824","2"
"02188","02184","768"
"02188","02109","31"
"02302","02109","23"
"02302","02184","321"
"02302","02215","12"
"02303","02184","1"
"02155","02138","259"
"02171","02184","274"
"02171","02138","41"
"02176","02144","27"
"02324","02169","14"
"02324","02467","3"
"02324","02109","2"
"02148","02138","83"
"02332","02184","64"
"02338","02169","2"
"02176","01824","3"
"02149","01960","20"
"02180","01915","6"
"02180","02169","4"
"02149","02481","6"
"02149","02169","1"
"02184","02481","37"
"02169","01915","1"
"02169","01960","32"
"02190","02481","33"
"02155","01960","42"
"02190","02215","2"
"02184","01742","6"
"02155","01915","2"
"02170","02169","352"
"02184","02155","3"
"02199","02215","7"
"02210","01742","1"
"02185","02184","27"
"02216","02215","1"
"02216","02169","2"
"02238","02138","4"
"02135","02184","16"
"02140","02109","50"
"02129","02144","8"
"02130","02481","149"
"02141","02138","238"
"02141","02109","104"
"02135","01824","8"
"02143","02144","382"
"02143","02109","122"
"02130","02155","5"
"02136","02109","98"
"02145","02144","399"
"02145","02215","51"
"02145","02467","55"
"02145","02184","17"
"02124","01960","1"
"02131","02215","265"
"02145","01824","7"
"02145","01803","9"
"02125","02215","263"
"02125","02184","143"
"02125","02144","23"
"02131","01960","3"
"02131","02138","9"
"02138","01803","11"
"02126","02184","137"
"02126","02169","87"
"02131","02062","1"
"02139","02215","86"
"02143","02184","7"
"02127","02467","39"
"02144","01960","8"
"02139","02169","6"
"02144","01803","2"
"02128","02481","10"
"02468","02109","11"
"02343","02109","13"
"02446","02144","8"
"02494","02481","345"
"02494","02215","1"
"03060","01824","65"
"03060","02144","4"
"03062","01824","51"
"03076","01824","43"
"03076","01960","1"
"03076","02155","2"
"03079","01915","2"
"03079","01824","34"
"03087","01960","1"
"02452","02144","15"
"02452","02109","4"
"02453","01803","23"
"02474","02138","254"
"20003","02138","1"
"31768","02481","1"
"32617","02481","3"
"33020","02481","4"
"33346","02481","4"
"34202","02169","2"
"34229","02169","1"
"34428","02184","4"
"48195","02184","10"
"02359","02481","2"
"02453","02184","17"
"02453","02472","39"
"03104","02481","1"
"03275","01824","2"
"03281","01824","2"
"03290","02138","4"
"03461","02215","8"
"03820","02109","2"
"03833","02138","1"
"03841","01960","3"
"03846","02215","2"
"03858","02109","13"
"03862","02138","3"
"03865","01915","2"
"03873","02109","4"
"03909","02481","24"
"04043","02481","2"
"04049","02215","3"
"04064","01803","3"
"06031","02215","19"
"07960","02109","2"
"10032","02481","1"
"11216","02109","4"
"02368","02144","8"
"02458","02481","302"
"02458","02215","14"
"02476","02144","222"
"02476","02481","24"
"60068","02481","1"
"66047","02109","6"
"80246","02138","2"
"85204","01960","1"
"93631","02215","1"
"02553","02026","1"
"02459","02109","8"
"02478","02144","107"
"02584","02109","2"
"02646","02184","1"
"02649","02184","4"
"02649","01960","1"
"02657","02481","2"
"02670","02169","2"
"02703","02467","10"
"02703","02215","2"
"02478","01803","42"
"02703","01824","2"
"02718","02109","1"
"02738","02184","3"
"02740","02184","2"
"02746","02184","8"
"02748","02138","1"
"02760","02184","28"
"02762","02169","4"
"02762","01742","1"
"02763","02467","3"
"02766","02109","2"
"02382","02169","71"
"02461","02109","4"
"02478","01960","1"
"02780","02062","1"
"02864","01803","3"
"02904","02215","1"
"02908","02109","3"
"03033","01803","2"
"02420","02215","9"
"02420","02155","2"
"02465","01915","1"
"02482","02144","7"
"03038","02155","3"
"03038","02138","31"
"03038","02109","8"
"03038","02215","3"
"03049","01803","1"
"03053","02138","12"
"02466","02144","1"
"02466","01803","2"
"02482","02467","6"
"02445","02144","13"
"02467","02109","21"
"02482","02138","2"
"02445","01803","9"
"02445","02169","3"
"01510","01742","1"
"01532","02481","8"
"01570","01824","2"
"01581","02138","7"
"01588","02109","2"
"01602","02184","4"
"01605","02481","4"
"01027","02109","4"
"01034","02138","2"
"01096","01915","5"
"01096","01960","36"
"01118","02169","2"
"01230","02109","3"
"01253","01803","1"
"01420","01915","2"
"01420","01803","2"
"01430","02481","7"
"01432","01742","3"
"01440","02138","3"
"01460","02215","3"
"01467","02138","2"
"01467","02481","2"
"01742","02481","59"
"01701","01803","11"
"01702","02184","10"
"01702","02138","9"
"01720","02155","4"
"01720","02109","4"
"01720","01960","2"
"01730","01803","199"
"01730","02144","12"
"01730","01915","12"
"01730","02481","27"
"01740","01824","2"
"01740","02467","6"
"01752","01742","11"
"01756","02481","8"
"01748","01915","2"
"01749","02138","1"
"01752","01824","11"
"01773","02215","8"
"01773","01960","1"
"01773","01742","6"
"01773","01915","4"
"01801","02144","59"
"01801","01960","22"
"01801","02169","11"
"01810","01742","3"
"01821","01960","19"
"01824","01915","31"
"01824","01742","16"
"01850","02109","6"
"01824","02215","1"
"01826","02481","8"
"01826","02184","6"
"01826","01960","4"
"01827","01803","7"
"01830","02481","1"
"01832","02481","16"
"01832","02109","2"
"01833","02155","2"
"01835","01915","12"
"01845","02144","1"
"01851","02215","8"
"01852","02138","17"
"01854","02184","13"
"01860","02215","5"
"01862","01803","135"
"01862","01915","12"
"01862","02215","3"
"01852","01960","7"
"01852","02144","1"
"01880","02155","164"
"01863","02138","6"
"01863","02155","4"
"01863","02481","11"
"01864","02138","1"
"01867","02138","11"
"01876","01824","480"
"01876","01742","3"
"01887","02109","22"
"01902","01960","203"
"01905","01803","2"
"01890","02109","47"
"01901","02144","2"
"01929","02109","2"
"01930","02155","1"
"01906","02481","2"
"01907","02138","29"
"01907","02155","9"
"01913","01915","21"
"01915","01915","1072"
"01915","02215","12"
"01915","02144","1"
"01922","01960","4"
"01940","02109","18"
"01944","01960","42"
"01945","02109","46"
"01949","01960","170"
"01949","02155","8"
"01951","01960","48"
"01930","02215","1"
"01938","02144","4"
"01940","02155","5"
"02026","02467","431"
"01970","01824","2"
"01982","01960","23"
"01983","01960","44"
"01983","01803","8"
"01984","01915","42"
"02019","02109","19"
"02026","02144","8"
